"Zona","Bairros","Start_Code","End_Code"
"Centro","CENTRO – Sé / Santa Efigênia / República / Centro","01000","01099"
"Centro","BOM RETIRO – Barra Funda / Bom Retiro / Luz / Ponte Pequena","01100","01199"
"Centro","VILA BUARQUE – Santa Cecília/ Pacaembú / Sumaré / Higienópolis / Consolação","01200","01299"
"Centro","CONSOLAÇÃO – Consolação / Bela Vista","01300","01399"
"Centro","JARDINS – Cerqueira César / Jardim Paulista / Jardim América / Jardim Europa","01400","01499"
"Centro","LIBERDADE – Liberdade / Cambuci / Aclimação / Vila Monumento / Jardimda Glória","01500","01599"
"Zona Norte","SANTANA – Santana / Carandiru / Vila Guilherme / Jardim São Paulo","02000","02099"
"Zona Norte","VILA MARIA – Vila Maria / Parque Novo Mundo / Jardim Japão","02100","02199"
"Zona Norte","JAÇANÃ E TUCURUVI – Tucuruvi / Jaçanã / Parque Edu Chaves / Vila Medeiros / Vila Edi","02200","02299"
"Zona Norte","TREMEMBÉ – Jardim Tremembé / Barro Branco / Água Fria","02300","02399"
"Zona Norte","MANDAQUI – Mandaqui / Imirim / Lausane Paulista / Santa Teresinha","02400","02499"
"Zona Norte","CASA VERDE – Casa Verde / Parque Peruche","02500","02599"
"Zona Norte","CACHOEIRINHA – Vila Nova Cachoeirinha / Jardim Peri Peri","02600","02699"
"Zona Norte","LIMÃO – Limão / Nossa Senhora do Ó / Itaberaba","02700","02799"
"Zona Norte","BRASILÂNDIA – Brasilândia / Morro Grande","02800","02899"
"Zona Norte","FREGUESIA DO Ó – Freguesia do Ó / Pirituba / Piqueri","02900","02999"
"Zona Leste","BRÁS – Belenzinho / Brás / Belém / Pari / Canindé / Catumbi / ParqueS.Jorge","03000","03099"
"Zona Leste","MOÓCA – Moóca / Alto da Moóca / Vila Prudente / A. Rosa / Quarta Parada / Parque Moóca / Vila Zelina","03100","03199"
"Zona Leste","SÃO LUCAS – VilaEma / Parque São Lucas / Vila Alpina / Sapopemba","03200","03299",
"Zona Leste","ANÁLIA FRANCO – Tatuapé / Vila Formosa / Jardim Colorado / Vila Gomes Cardim / JardimAnália Franco","03300","03399"
"Zona Leste","CARRÃO E ARICANDUVA – Vila Carrão / Carrãozinho","03400","03499"
"Zona Leste","VILA MATILDE – Vila Matilde / Cidade Patriarca / Artur Alvim","03500","03599"
"Zona Leste","PENHA – Penha / Vila Esperança / Vila Ré / Cidade A. E. Carvalho","03600","03699"
"Zona Leste","CANGAÍBA – Cangaiba / Engenho Goulart / Ponte Rasa","03700","03799"
"Zona Leste","ERMELINO MATARAZZO – Ermelino Matarazzo / Vila Paranaguá","03800","03899"
"Zona Leste","SÃO MATEUS – São Mateus / Iguaçu","03900","03999"
"Zona Leste","SÃO MIGUEL PAULISTA","08000","08099"
"Zona Leste","ITAIM PAULISTA","08100","08199"
"Zona Leste","ITAQUERA","08200","08299"
"Zona Leste","SÃO MATEUS","08300","08399"
"Zona Leste","GUAIANAZES","08400","08499"
"Zona Sul","MOEMA E VILA MARIANA (OESTE) – Vila Mariana / Vila Clementino / Paraíso / Indianópolis / Moema / Planalto Paulista / Mirandópolis","04000","04099"
"Zona Sul","SAÚDE E VILA MARIANA (LESTE) – Jardim Glória / Saúde / Água Funda / Vila Mercês / Vila Liviero","04100","04199"
"Zona Sul","IPIRANGA – Ipiranga / Vila Carioca / Sacomã / Moinho Velho / São João Clímaco","04200","04299"
"Zona Sul","JABAQUARA – Jabaquara / Jardim Aeroporto / Vila Sta Catarina / Vila Guarani / Vila Mascote","04300","04399"
"Zona Sul","CIDADE ADEMAR – Cidade Ademar / Pedreira / Jardim Miriam / Americanópolis","04400","04499"
"Zona Sul","ITAIM BIBI – Brooklin Novo / Itaim Bibi / Vila Olímpia / Moema / Vila Nova Conceição","04500","04599"
"Zona Sul","CAMPO BELO – Brooklin Paulista / Campo Belo / Aeroporto / Cidade Ademar / Campo Grande / Jurubatuba / Chácara Flora / Chácara Monte Alegre","04600","04699"
"Zona Sul","SANTO AMARO – Santo Amaro / Chácara Santo Antônio / Granja Julieta / Socorro / Veleiros / Interlagos / Alto da Boa Vista","04700","04799"
"Zona Sul","CIDADE DUTRA E GRAJAÚ – Cidade Dutra / Rio Bonito / Parque Grajaú / Parelheiros","04800","04899"
"Zona Sul","GUARAPIRANGA – Guarapiranga / Capela do Socorro","04900","04999"
"Zona Oeste","LAPA E PERDIZES – Lapa / Perdizes / Água Branca / Alto da Lapa / Vila Anastácia / Pompéia / Vila Romana","05000","05099"
"Zona Oeste","PIRITUBA E JARAGUÁ – Vila Jaguara / Pirituba / Parque São Domingos","05100","05199"
"Zona Oeste","PERUS – Jaraguá / Perus","05200","05299"
"Zona Oeste","JAGUARÉ E LEOPOLDINA – Vila Leopoldina / Ceasa / Jaguaré / Rio Pequeno / Vila Hamburguesa / Vila Remédios","05300","05399"
"Zona Oeste","PINHEIROS – Pinheiros / Vila Madalena / Alto de Pinheiros","05400","05499"
"Zona Oeste","BUTANTÃ – Butantã / Caxingui / Cidade Universitária (USP) / JardimPeri-Peri / JardimBonfiglioli","05500","05599"
"Zona Oeste","MORUMBI – Cidade Jardim / Morumbi / Vila Sônia / Jardim Guedala / Jardim Leonor / Real Parque","05600","05699"
"Zona Oeste","CAMPO LIMPO – Campo Limpo / Pirajuçara","05700","05799"
"Zona Oeste","CAPÃO REDONDO – Capão Redondo / Vila Das Belezas","05800","05899"
